movie_title,webpage_url,genre,release_date,imdb_url,flv_files,mov1_files,mov2_files,mp4_files
Branded,http://www.movie-list.com/trailers/branded,,"September 7, 2012",http://www.imdb.com/title/tt1368440/,,"['http://pdl.stream.aol.com/pdlext/aol/brightcove/ame/201207/24/45819/branded_trlr_02_1080p_dl.mov', 'http://pdl.stream.aol.com/pdlext/aol/brightcove/ame/201207/24/45819/branded_trlr_02_720p_dl.mov', 'http://pdl.stream.aol.com/pdlext/aol/brightcove/ame/201207/24/45819/branded_trlr_02_480p_dl.mov']",,
Bratz,http://www.movie-list.com/trailers/bratz,Comedy,"August 3, 2007",http://www.imdb.com/title/tt0804452/,,['http://images.hollywood.com/quicktime/bratz_lio_t_low.mov'],,
Brave,http://www.movie-list.com/trailers/brave,"Animation, Action, Adventure","June 22, 2012",http://www.imdb.com/title/tt1217209/,"['http://videos.movie-list.com/flvplayer.swf?file=http://cdn.movie-list.com/flvideo/1934.flv', 'http://videos.movie-list.com/flvplayer.swf?file=http://cdn.movie-list.com/flvideo/1829.flv', 'http://videos.movie-list.com/flvplayer.swf?file=http://cdn.movie-list.com/flvideo/1621.flv']","['http://wdmp.rd.llnwd.net/wdsmp/Brave/Trailer4/Brave_Tlr5_1080.mov', 'http://wdmp.rd.llnwd.net/wdsmp/Brave/Trailer4/Brave_Tlr5_720.mov', 'http://wdmp.rd.llnwd.net/wdsmp/Brave/Trailer4/Brave_Tlr5_480.mov', 'http://pdl.stream.aol.com/pdlext/aol/brightcove/ame/201204/25/43642/brave_trlr_04_1080p_dl.mov', 'http://pdl.stream.aol.com/pdlext/aol/brightcove/ame/201204/25/43642/brave_trlr_04_720p_dl.mov', 'http://pdl.stream.aol.com/pdlext/aol/brightcove/ame/201204/25/43642/brave_trlr_04_480p_dl.mov', 'http://pdl.stream.aol.com/pdlext/aol/brightcove/ame/201202/28/41223/brave_trlr_03_1080p_dl.mov', 'http://pdl.stream.aol.com/pdlext/aol/brightcove/ame/201202/28/41223/brave_trlr_03_720p_dl.mov', 'http://pdl.stream.aol.com/pdlext/aol/brightcove/ame/201202/28/41223/brave_trlr_03_480p_dl.mov', 'http://wdmp.rd.llnwd.net/wdsmp/Brave/TRL3/Brave_Tlr3_1080.mov', 'http://wdmp.rd.llnwd.net/wdsmp/Brave/TRL3/Brave_Tlr3_720.mov', 'http://wdmp.rd.llnwd.net/wdsmp/Brave/TRL3/Brave_Tlr3_480.mov', 'http://wdmp.rd.llnwd.net/wdsmp/Brave/Trailer2/Brave_Trailer2_1080.mov', 'http://wdmp.rd.llnwd.net/wdsmp/Brave/Trailer2/Brave_Trailer2_720.mov', 'http://wdmp.rd.llnwd.net/wdsmp/Brave/Trailer2/Brave_Trailer2_480.mov', 'http://pdl.stream.aol.com/pdlext/aol/brightcove/us/moviefone/trailers/2011/brave_033554/brave_trlr_02_1080p_dl.mov', 'http://pdl.stream.aol.com/pdlext/aol/brightcove/us/moviefone/trailers/2011/brave_033554/brave_trlr_02_720p_dl.mov', 'http://pdl.stream.aol.com/pdlext/aol/brightcove/us/moviefone/trailers/2011/brave_033554/brave_trlr_02_480p_dl.mov', 'http://pdl.stream.aol.com/pdlext/aol/brightcove/us/moviefone/trailers/2011/brave_033554/brave_trlr_01_1080p_dl.mov', 'http://pdl.stream.aol.com/pdlext/aol/brightcove/us/moviefone/trailers/2011/brave_033554/brave_trlr_01_720p_dl.mov', 'http://pdl.stream.aol.com/pdlext/aol/brightcove/us/moviefone/trailers/2011/brave_033554/brave_trlr_01_480p_dl.mov', 'http://wdmp.rd.llnwd.net/wdsmp/Brave/Teaser1/Brave_Tlr1_1080.mov', 'http://wdmp.rd.llnwd.net/wdsmp/Brave/Teaser1/Brave_Tlr1_720.mov', 'http://wdmp.rd.llnwd.net/wdsmp/Brave/Teaser1/Brave_Tlr1_480.mov']",,
The Brave One,http://www.movie-list.com/trailers/braveone,"Action, Crime, Drama, Thriller","September 14, 2007",http://www.imdb.com/title/tt0476964/,,"['http://pdl.warnerbros.com/wbmovies/thebraveone/tvspots/tvspot1_500.mov', 'http://pdl.warnerbros.com/wbmovies/thebraveone/tvspots/tvspot2_500.mov']",,
Brazilian Western,http://www.movie-list.com/trailers/brazilianwestern,"Crime, Drama, Romance",TBA 2014,http://imdb.com/title/tt1869416/,,,,['http://cdn.movie-list.com/hd/brazilianwestern720.mp4']
Bread & Roses,http://www.movie-list.com/trailers/breadandroses,,"May 11, 2001",,,"['http://allocine.francelink.com/media/04/89/45/048945_fa_vost.mov', 'http://www.hollywood.com/trailers/breadroses/breadroses.mov']",,
"The Bread, My Sweet",http://www.movie-list.com/trailers/breadmysweet,,January 2002,,,"['http://www.whoknewproductions.com/trailer/Bread_Promovp3.mov', 'http://www.whoknewproductions.com/trailer/breadpromo01.mov']",,
Breakdown,http://www.movie-list.com/trailers/breakdown,,"May 2, 1997",,,['http://www.paramount.com/motionpicture/breakdown/movie/breakdown1a.mov'],,
Breakfast At Tiffany\'s,http://www.movie-list.com/trailers/breakfastattiffanys,"Drama, Romance","October 5, 1961",http://imdb.com/title/tt0054698/,,['http://videos.movie-list.com/classics/breakfast-at-tiff13anys.mov'],,
The Breakfast Club,http://www.movie-list.com/trailers/breakfastclub,Drama ,"February 15, 1985",http://imdb.com/title/tt0088847/,,['http://videos.movie-list.com/classics/breakfast-club.mov'],,
