title,num_frames,total_time,avg_intensity,avg_color_r,avg_color_g,avg_color_b,avg_shot_length,num_shots,original_format_title,movie_list_webpage_url,genre,release_date,imdb_url,mean_volume,std_dev_volume,min_volume,max_volume,Drama,Horror,Thriller,Action,Comedy,Crime,Mystery,Sport,Romance,Biography,History,Animation,Adventure,Family,Documentary,Fantasy,Music,Western,Musical,Sports,Supernatural,War,News,Animaton,Short
Fathers-and-Daughters,2880,120.078291667,75.9984339609,59.73040769383142,81.26965183581937,91.57657432975572,0.369157608696,322,Fathers and Daughters,http://www.movie-list.com/trailers/fathersanddaughters,Drama,TBA 2015,http://imdb.com/title/tt2582502/,0.10440695638,0.0448727760218,0.00819482459392,0.243142960668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dark-Was-the-Night,2626,109.484375,152.97101477,156.10365651364256,155.46539752844504,132.04774990195438,0.516292475728,206,Dark Was the Night,http://www.movie-list.com/trailers/darkwasthenight,"Drama, Horror, Thriller",TBA 2015,http://imdb.com/title/tt2251281/,0.0927505908484,0.0441897527281,0.021230685584,0.244325143911,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Merry-Friggin-Christmas,4006,133.5,113.567659732,103.9509706141298,116.928563110609,121.57586025573819,0.522585034014,245,A Merry Friggin' Christmas,http://www.movie-list.com/trailers/merryfrigginchristmas,Comedy,7-Nov-14,http://imdb.com/title/tt0910885/,0.0452328485442,0.026929445951,0.0,0.138078179422,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Nut-Job,2425,101.101,223.910451682,199.52017916960125,231.43000916150035,249.33732237105244,0.548854166667,182,The Nut Job,http://www.movie-list.com/trailers/nutjob,"Animation, Adventure, Comedy, Family",17-Jan-14,http://imdb.com/title/tt1821658/,0.0867355671374,0.0627526457787,0.0,0.31932874331,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Amityville-The-Awakening,3565,148.6485,56.2238690832,54.16091753695221,56.77140973428891,58.86274839845607,0.393887254902,374,Amityville: The Awakening,http://www.movie-list.com/trailers/amityvilletheawakening,"Horror, Thriller",TBA 2015,http://imdb.com/title/tt1935897/,0.0861637722538,0.0771064038549,0.0,0.286887769771,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carrie-2013,1393,58.058,39.4897787178,19.17498480498609,49.205769044617455,42.75955552996034,1.74914322917,32,Carrie (2013),http://www.movie-list.com/trailers/carrie2013,"Drama, Horror",18-Oct-13,http://imdb.com/title/tt1939659/,0.0811763514596,0.0614792909006,0.0,0.350203789545,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-To-Do-List,2287,95.34525,229.20153779,210.8249911188108,233.74543603314507,254.1875174871129,1.12364236111,84,The To Do List,http://www.movie-list.com/trailers/todolist,Comedy,26-Jul-13,http://imdb.com/title/tt1758795/,0.0979660490343,0.0609955234639,0.0,0.302668175835,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
About-Last-Night,4598,191.733208333,94.2215046491,96.00710253554553,90.91349342368136,106.6557987853076,1.369225,140,About Last Night,http://www.movie-list.com/trailers/aboutlastnight,"Comedy, Drama, Romance",14-Feb-14,http://imdb.com/title/tt1826590/,0.132405815179,0.0640170243182,0.0,0.320106797614,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Immigrant,2302,95.970875,52.2916338416,36.9976061353628,55.390743437399,76.47967517523837,0.595574275362,161,The Immigrant,http://www.movie-list.com/trailers/immigrant,"Drama, Mystery, Romance",16-May-14,http://imdb.com/title/tt1951181/,0.0661979831868,0.030839211156,0.0,0.138291204606,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The-Secret-in-Their-Eyes,3456,144.102291667,82.921012637,78.30103859469914,83.94376447881817,89.84072326280004,0.414919788665,347,The Secret in Their Eyes,http://www.movie-list.com/trailers/secretintheireyes,"Mystery, Thriller",20-Nov-15,http://imdb.com/title/tt1741273/,0.113617961276,0.0462447486931,0.00779955538639,0.243406427712,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
